PERMNO,date,TICKER,COMNAM,BID
14593,02/26/2008,AAPL,APPLE INC,119.10000
14593,02/27/2008,AAPL,APPLE INC,122.92000
14593,02/28/2008,AAPL,APPLE INC,129.89000
14593,02/29/2008,AAPL,APPLE INC,125.15000
14593,03/03/2008,AAPL,APPLE INC,121.73000
14593,03/04/2008,AAPL,APPLE INC,124.60000
14593,03/05/2008,AAPL,APPLE INC,124.43000
14593,03/06/2008,AAPL,APPLE INC,121.43000
14593,03/07/2008,AAPL,APPLE INC,122.31000
14593,03/10/2008,AAPL,APPLE INC,119.70000
14593,03/11/2008,AAPL,APPLE INC,127.35000
14593,03/12/2008,AAPL,APPLE INC,126.03000
14593,03/13/2008,AAPL,APPLE INC,127.94000
14593,03/14/2008,AAPL,APPLE INC,126.91000
14593,03/17/2008,AAPL,APPLE INC,126.73000
14593,03/18/2008,AAPL,APPLE INC,132.92000
14593,03/19/2008,AAPL,APPLE INC,129.67999
14593,03/20/2008,AAPL,APPLE INC,133.25999
14593,03/24/2008,AAPL,APPLE INC,139.64000
14593,03/25/2008,AAPL,APPLE INC,140.91000
14593,03/26/2008,AAPL,APPLE INC,145.05000
14593,03/27/2008,AAPL,APPLE INC,140.27000
14593,03/28/2008,AAPL,APPLE INC,142.92999
14593,03/31/2008,AAPL,APPLE INC,143.50000
14593,04/01/2008,AAPL,APPLE INC,149.53999
14593,04/02/2008,AAPL,APPLE INC,147.44000
14593,04/03/2008,AAPL,APPLE INC,151.55000
14593,04/04/2008,AAPL,APPLE INC,153.07001
14593,04/07/2008,AAPL,APPLE INC,155.89000
14593,04/08/2008,AAPL,APPLE INC,152.80000
14593,04/09/2008,AAPL,APPLE INC,151.44000
14593,04/10/2008,AAPL,APPLE INC,154.50999
14593,04/11/2008,AAPL,APPLE INC,147.22000
14593,04/14/2008,AAPL,APPLE INC,147.74001
14593,04/15/2008,AAPL,APPLE INC,148.36000
14593,04/16/2008,AAPL,APPLE INC,153.61000
14593,04/17/2008,AAPL,APPLE INC,154.49001
14593,04/18/2008,AAPL,APPLE INC,161.07001
14593,04/21/2008,AAPL,APPLE INC,168.12000
14593,04/22/2008,AAPL,APPLE INC,160.20000
14593,04/23/2008,AAPL,APPLE INC,162.67999
14593,04/24/2008,AAPL,APPLE INC,168.92000
14593,04/25/2008,AAPL,APPLE INC,169.75999
14593,04/28/2008,AAPL,APPLE INC,172.23000
14593,04/29/2008,AAPL,APPLE INC,174.99001
14593,04/30/2008,AAPL,APPLE INC,173.91000
14593,05/01/2008,AAPL,APPLE INC,179.98000
14593,05/02/2008,AAPL,APPLE INC,181.00000
14593,05/05/2008,AAPL,APPLE INC,184.50999
14593,05/06/2008,AAPL,APPLE INC,186.53999
14593,05/07/2008,AAPL,APPLE INC,182.75000
14593,05/08/2008,AAPL,APPLE INC,184.99001
14593,05/09/2008,AAPL,APPLE INC,183.32001
14593,05/12/2008,AAPL,APPLE INC,187.91000
14593,05/13/2008,AAPL,APPLE INC,189.91000
14593,05/14/2008,AAPL,APPLE INC,186.17999
14593,05/15/2008,AAPL,APPLE INC,189.60001
14593,05/16/2008,AAPL,APPLE INC,187.67999
14593,05/19/2008,AAPL,APPLE INC,183.56000
14593,05/20/2008,AAPL,APPLE INC,185.95000
14593,05/21/2008,AAPL,APPLE INC,178.19000
14593,05/22/2008,AAPL,APPLE INC,177.03999
14593,05/23/2008,AAPL,APPLE INC,181.16000
14593,05/27/2008,AAPL,APPLE INC,186.27000
14593,05/28/2008,AAPL,APPLE INC,186.86000
14593,05/29/2008,AAPL,APPLE INC,186.64999
14593,05/30/2008,AAPL,APPLE INC,188.55000
14593,06/02/2008,AAPL,APPLE INC,186.09000
14593,06/03/2008,AAPL,APPLE INC,185.37000
14593,06/04/2008,AAPL,APPLE INC,185.11000
14593,06/05/2008,AAPL,APPLE INC,189.31000
14593,06/06/2008,AAPL,APPLE INC,185.75999
14593,06/09/2008,AAPL,APPLE INC,181.67999
14593,06/10/2008,AAPL,APPLE INC,185.64000
14593,06/11/2008,AAPL,APPLE INC,180.95000
14593,06/12/2008,AAPL,APPLE INC,172.80000
14593,06/13/2008,AAPL,APPLE INC,172.28999
14593,06/16/2008,AAPL,APPLE INC,176.70000
14593,06/17/2008,AAPL,APPLE INC,181.42000
14593,06/18/2008,AAPL,APPLE INC,178.77000
14593,06/19/2008,AAPL,APPLE INC,180.89999
14593,06/20/2008,AAPL,APPLE INC,175.17999
14593,06/23/2008,AAPL,APPLE INC,173.16000
14593,06/24/2008,AAPL,APPLE INC,173.19000
14593,06/25/2008,AAPL,APPLE INC,177.31000
14593,06/26/2008,AAPL,APPLE INC,168.25000
14593,06/27/2008,AAPL,APPLE INC,170.09000
14593,06/30/2008,AAPL,APPLE INC,167.44000
14593,07/01/2008,AAPL,APPLE INC,174.63000
14593,07/02/2008,AAPL,APPLE INC,168.17999
14593,07/03/2008,AAPL,APPLE INC,170.05000
14593,07/07/2008,AAPL,APPLE INC,175.07001
14593,07/08/2008,AAPL,APPLE INC,179.56000
14593,07/09/2008,AAPL,APPLE INC,174.25000
14593,07/10/2008,AAPL,APPLE INC,176.60001
14593,07/11/2008,AAPL,APPLE INC,172.59000
14593,07/14/2008,AAPL,APPLE INC,173.88000
14593,07/15/2008,AAPL,APPLE INC,169.58000
